Epoch	f-f*	Time
0	0.05005973	1.0169
1	0.03188315	2.0722
2	0.02373903	3.1300
3	0.01823946	4.1362
4	0.01418766	5.1975
5	0.01175536	6.2725
6	0.00970817	7.3469
7	0.00829852	8.3754
8	0.00717720	9.4490
9	0.00638689	10.4828
10	0.00564661	11.5422
11	0.00514019	12.6334
12	0.00486759	13.6867
13	0.00408293	14.7595
14	0.00444748	15.8472
15	0.00351144	16.9309
16	0.00326277	17.9840
17	0.00298583	18.9735
18	0.00287554	20.0097
19	0.00265093	21.1879
20	0.00254967	22.2128
21	0.00252658	23.2659
22	0.00266449	24.3525
23	0.00270151	25.4228
24	0.00195926	26.4274
25	0.00255033	27.4764
26	0.00189584	28.5399
27	0.00174711	29.5342
28	0.00186783	30.6239
29	0.00308863	31.6332
30	0.00149747	32.6696
31	0.00176684	33.6641
32	0.00181084	34.6766
33	0.00130843	35.6920
34	0.00185594	36.6976
35	0.00121393	37.6971
36	0.00116827	38.7157
37	0.00128661	39.7350
38	0.00166255	40.7788
39	0.00119022	41.8181
40	0.00104948	42.8406
41	0.00172348	43.8672
42	0.00114446	44.8793
43	0.00115695	45.9463
44	0.00123467	46.9864
45	0.00095787	48.0351
46	0.00083305	49.0442
47	0.00088885	50.0616
48	0.00079820	51.0719
49	0.00086879	52.1304
