Epoch	f-f*	Time
0	0.04910090	4.0482
1	0.03223642	8.4902
2	0.02254211	12.8494
3	0.01709291	14.1124
4	0.01334255	18.7393
5	0.01075836	19.9878
6	0.00879066	21.2817
7	0.00749374	22.5430
8	0.00634844	26.7250
9	0.00562372	27.9446
10	0.00485559	29.1979
11	0.00430519	30.4073
12	0.00387772	31.6520
13	0.00354642	33.0480
14	0.00321044	34.2686
15	0.00295603	35.5063
16	0.00272313	39.8188
17	0.00252712	41.0254
18	0.00234224	42.2862
19	0.00219286	43.5595
20	0.00206046	44.7397
21	0.00192657	45.9646
22	0.00181213	47.2089
23	0.00171531	48.4533
24	0.00161431	49.6750
25	0.00153210	50.8773
26	0.00145519	52.0806
27	0.00139912	53.3009
28	0.00133200	54.5293
29	0.00125767	55.7536
30	0.00124829	56.9637
31	0.00139302	58.1922
32	0.00109617	62.5513
33	0.00104990	63.7816
34	0.00128796	64.9966
35	0.00096236	66.3445
36	0.00092682	67.5849
37	0.00088584	68.7839
38	0.00085106	69.9650
39	0.00082052	71.1870
40	0.00079330	72.3884
41	0.00076388	73.6005
42	0.00073157	74.8925
43	0.00070552	76.1341
44	0.00068190	77.3517
45	0.00066160	78.5620
46	0.00063675	79.7882
47	0.00068829	80.9989
48	0.00062129	82.2473
49	0.00057846	83.4655
