Epoch	f-f*	Time
0	0.03980628	1.1035
1	0.02162970	2.2065
2	0.01348558	3.2636
3	0.00798601	4.3342
4	0.00393422	5.4045
5	0.00150191	6.5788
6	0.00063331	7.6413
7	0.00046911	8.9557
8	0.00028543	10.0749
9	0.00033374	11.1273
10	0.00014474	12.2835
11	0.00028270	13.3692
12	0.00066339	14.5510
13	0.00006200	15.6144
14	0.00094338	16.6876
15	0.00014520	17.7301
16	0.00008411	18.7731
17	0.00002218	19.8354
18	0.00020756	20.9178
19	0.00037780	22.0203
20	0.00016727	23.0412
21	0.00019790	24.1322
22	0.00084119	25.1516
23	0.00057169	26.2286
24	0.00011494	27.3878
25	0.00097662	28.4852
26	0.00019149	29.6205
27	0.00017853	30.6781
28	0.00009734	32.1172
29	0.00244576	33.1841
30	0.00005351	34.2249
31	0.00055052	35.3246
32	0.00055799	36.3682
33	0.00003919	37.4398
34	0.00017671	38.4679
35	0.00002676	39.5663
36	0.00007787	40.6319
37	0.00081354	41.7461
38	0.00046776	42.8210
39	0.00022375	43.8756
40	0.00033152	44.9308
41	0.00093934	45.9985
42	0.00031045	47.1162
43	0.00029553	48.1356
44	0.00010558	49.2425
45	0.00003686	50.2906
46	0.00004117	51.3210
47	0.00016368	52.4040
48	0.00004033	53.4221
49	0.00018536	54.4721
