Epoch	f-f*	Time
2	36.05114927	5.2770
3	111.34693550	10.5250
4	85.39538731	15.5826
4	57.56943587	18.5005
5	57.31042368	23.8187
5	40.54877109	26.7174
5	42.12910104	29.8146
5	31.88560207	32.7769
6	33.63834066	38.8402
6	25.87544053	41.9424
6	27.36811794	46.7643
6	22.04246746	50.0869
6	22.96276220	53.1891
6	19.18649915	55.9868
6	20.03337856	58.7804
6	16.63831675	61.5276
7	17.50269239	66.5853
7	14.50696850	69.4937
7	15.55693267	72.4023
7	12.84329922	75.0697
7	13.93646185	77.9494
7	11.54764385	80.8132
7	12.62384908	83.8629
7	10.20310302	86.7134
7	11.68797549	89.6264
7	9.58191651	92.4987
7	10.67989399	95.4759
7	8.86745745	98.4780
7	9.83599863	101.6650
7	8.30234008	104.4423
7	9.10297402	107.3363
7	7.80095058	110.1174
8	8.44722131	115.3234
8	7.36246049	118.1880
8	7.88369167	120.9628
8	6.94673974	124.2187
8	7.39814023	127.3070
8	6.53302331	130.2752
8	6.96527514	133.5944
8	6.18026094	136.8426
8	6.58425721	139.7890
8	5.88749987	142.7827
8	6.25483293	145.5885
8	5.60367112	148.5037
8	5.93352334	151.5547
8	5.36714451	154.3800
8	5.67168241	157.1350
8	5.11483813	159.9985
8	5.39247410	163.1321
8	4.91211466	166.0915
8	5.14298344	169.1370
8	4.69697937	172.0914
8	4.93895513	175.1146
8	4.52825179	178.1975
8	4.75865389	181.2004
8	4.33850870	184.1259
8	4.55462079	186.9982
8	4.15205606	190.1082
8	4.36842214	192.9940
8	3.99553538	196.1055
8	4.21041803	199.1345
8	3.84679334	202.0974
8	4.05981253	205.2800
8	3.72776263	208.1911
9	3.91004988	213.4307
9	3.58687268	216.4948
9	3.77218920	219.4082
9	3.46647234	222.3613
9	3.64063019	225.2914
9	3.35064317	228.4942
9	3.52619551	231.7117
9	3.25519576	235.0185
9	3.41235754	239.5114
9	3.14269828	243.8043
9	3.31923791	247.2182
9	3.05043785	250.2428
9	3.21981231	253.3093
9	2.95477674	256.5163
9	3.12210589	260.8471
9	2.86734607	264.2358
9	3.03306542	267.7264
9	2.79402375	271.6884
9	2.94485419	275.6398
9	2.72145061	279.4080
9	2.86687395	283.6305
9	2.64668515	288.0456
9	2.78780813	291.5679
9	2.57817596	295.1023
9	2.71365621	298.4152
9	2.51235531	301.3751
9	2.65181164	304.5064
9	2.44802587	307.7029
9	2.58389326	310.7026
9	2.39521622	313.8820
9	2.52116132	316.9281
9	2.33808159	320.0815
9	2.45941753	323.2815
9	2.28078110	326.3353
9	2.40373782	329.2888
9	2.23075241	332.3579
9	2.34866820	335.3043
9	2.18047567	338.3952
9	2.29459195	341.3594
9	2.12540959	344.2814
9	2.24242339	347.2550
9	2.07566023	350.3373
9	2.19544499	353.4487
9	2.02860253	356.7316
9	2.14919911	359.5628
9	1.98588826	362.6678
9	2.10565788	365.9546
9	1.94633883	369.0047
9	2.06430995	371.9359
9	1.90743264	375.0031
9	2.02111642	378.0830
9	1.86994738	381.3225
9	1.98106075	384.4402
9	1.83667956	387.7776
9	1.94190057	390.8531
10	1.80100654	393.9019
10	1.90353505	396.9955
10	1.76181457	400.1767
10	1.86794619	403.5490
10	1.72826051	406.9896
10	1.83488508	410.0383
10	1.69500397	413.0590
10	1.79984658	416.2133
10	1.66159536	419.6098
11	1.76634672	425.0798
11	1.63428070	428.1038
11	1.73569566	431.1995
11	1.60617417	434.3273
11	1.70406896	437.3223
11	1.57845357	440.6883
11	1.67340903	443.8011
11	1.55115647	446.8147
11	1.64514279	450.0075
11	1.52159235	453.0634
11	1.61561433	455.9602
11	1.49893613	459.0331
11	1.58888225	462.0246
11	1.47231036	464.9656
11	1.56150835	468.1994
11	1.44566201	471.2252
11	1.53493762	474.2240
11	1.41884374	477.2015
11	1.51008478	480.1754
11	1.39836987	483.4940
11	1.48614041	486.4682
11	1.37624329	489.6986
11	1.46154297	492.8869
12	1.35525008	496.0697
12	1.43815132	499.1944
12	1.33131193	502.3289
12	1.41545293	505.5514
12	1.31057214	509.0763
12	1.39282766	512.2296
12	1.28911831	515.6243
12	1.37089982	518.7195
12	1.26967142	521.6261
12	1.34861981	524.5909
12	1.25292882	527.7640
12	1.32800231	530.8002
12	1.22992025	533.9123
12	1.30853247	537.0451
12	1.21470890	540.1443
12	1.28894413	543.1288
12	1.19463860	546.5213
12	1.26888660	549.6808
12	1.17296602	552.7218
12	1.25039466	555.8448
12	1.15585911	558.9576
12	1.23134587	562.1221
13	1.13807734	565.1980
13	1.21266024	568.2199
13	1.12073090	571.2965
13	1.19510948	574.3150
13	1.10821977	577.3586
13	1.17910963	580.5027
13	1.08972122	583.5635
13	1.16182214	586.6958
13	1.07277311	589.7743
13	1.14557276	592.8013
13	1.05876115	595.8701
13	1.12935672	598.9891
13	1.04195914	602.0920
13	1.11251063	605.1826
13	1.02583640	608.3115
13	1.09887500	611.5194
13	1.00872899	614.5869
14	1.08340559	617.8713
14	0.99514013	621.0975
14	1.06752594	624.3651
14	0.98079141	627.4648
14	1.05236011	630.6502
14	0.96955203	633.6813
14	1.03807619	636.9112
14	0.95707470	640.0187
14	1.02434909	643.3812
14	0.94051974	646.5231
14	1.01024401	649.6660
14	0.92952849	652.8728
14	0.99727936	656.0628
14	0.91558163	659.3079
14	0.98496260	662.7479
15	0.90084079	666.2379
15	0.97133445	669.3309
15	0.88745860	672.4102
15	0.95737718	675.6323
15	0.87303947	678.7288
15	0.94417644	681.8660
15	0.86140227	685.0189
15	0.93185913	688.1640
15	0.84865125	691.3537
15	0.91710977	694.4471
15	0.84159538	697.5594
15	0.90608141	700.7249
15	0.82329554	703.9680
16	0.89253978	707.2194
16	0.80659414	710.3656
16	0.87784156	713.6763
16	0.80054022	716.9819
16	0.86672128	720.2072
16	0.78303195	723.4090
16	0.84775645	726.5761
16	0.76281747	729.7993
16	0.82867714	733.0555
16	0.74014545	736.2265
16	0.79760435	739.5787
17	0.69466355	742.9431
17	0.72526521	746.2817
17	0.56066958	749.4578
17	0.50982783	752.7160
17	0.28107178	756.1827
17	0.25183693	759.6851
17	0.10301841	763.0244
17	0.05364382	766.4090
17	0.00867195	770.0191
17	0.00341353	773.8104
17	0.00160753	777.6137
18	0.00181265	781.1223
18	0.00148065	784.9402
18	0.00143506	788.5704
18	0.00149502	792.4442
18	0.00214636	796.1019
18	0.00169778	799.7120
18	0.00080452	803.3763
18	0.00092988	806.8630
18	0.00111675	810.2599
19	0.00223501	813.6745
19	0.00119413	817.2038
19	0.00104438	820.5510
19	0.00073008	823.9736
19	0.00076735	827.3048
19	0.00064429	830.6353
19	0.00128529	834.1642
20	0.00012606	840.2165
20	0.00001865	843.6347
21	0.00001115	847.1856
