Epoch	f-f*	Time
1	0.36933409	2.8896
1	1.26060035	5.7713
1	1.26249418	8.6188
1	1.96115363	11.3622
1	1.62320616	14.1976
1	1.25548716	17.0648
1	1.01680100	19.9455
1	0.92878984	22.9185
1	0.69932344	25.8839
1	0.53944415	28.8079
1	0.22197477	31.7698
1	0.09937044	34.7306
1	0.06698075	37.6758
1	0.07373061	40.9316
1	0.06552619	44.9773
1	0.05078363	48.0515
1	0.04661742	51.2501
1	0.04590912	54.9320
1	0.04028878	58.0997
1	0.03685846	61.1656
1	0.03559050	64.0812
1	0.03479083	67.0106
1	0.03500345	70.0174
1	0.02940026	73.0249
1	0.03019910	76.0968
1	0.02978966	79.3956
1	0.03218628	82.2727
1	0.02882638	85.0915
1	0.02554386	88.5343
1	0.02708685	91.7418
1	0.02680802	94.6666
1	0.02674201	97.7945
1	0.02520381	100.8740
1	0.02350282	103.9763
1	0.02306937	106.7957
1	0.02130925	109.6343
1	0.02038881	112.5621
1	0.02119325	115.4765
1	0.02134736	118.6902
1	0.02088306	121.5745
1	0.02154418	124.5618
1	0.01842242	127.3677
1	0.01857356	130.2716
1	0.01769901	133.2217
1	0.01822288	136.2492
1	0.01698103	139.1915
1	0.01678200	141.9971
1	0.01679134	144.8424
