Epoch	f-f*	Time
1	0.37958754	2.8757
1	1.80370882	5.8568
1	18.83585695	8.7981
1	88.64585339	11.7301
1	36.80173766	14.6352
1	53.06969949	17.5109
1	30.46537910	20.2985
1	39.38839390	22.9764
1	26.41538711	25.6873
1	31.72998841	28.3960
1	22.32157136	31.0736
1	25.83233761	33.7247
1	19.57979141	36.4151
1	21.91288037	39.0947
1	17.46756225	42.0186
1	18.83329569	44.9812
1	15.40082591	47.8725
1	16.43172847	50.6766
1	13.81116121	53.6084
1	14.53963803	56.3018
1	12.57414298	59.0712
1	12.93035745	61.8779
1	11.49516140	64.7871
1	11.55887224	67.7099
1	10.61751212	70.5895
1	10.63610992	73.7587
1	9.75847265	77.3504
1	9.79687837	80.3336
1	9.02846584	83.0966
1	9.09374536	85.9625
1	8.38755710	88.7406
1	8.45288302	91.5243
1	7.86029943	94.2037
1	7.90907091	97.0839
1	7.37373110	99.9866
1	7.43522239	102.9254
1	6.94638056	105.7331
1	6.95977218	108.7064
1	6.53483391	111.5394
1	6.59279137	114.3940
1	6.21493929	117.2458
1	6.23274996	119.9930
1	5.90358865	122.7590
1	5.92951367	125.5902
1	5.62668937	128.4474
1	5.65646368	131.3775
1	5.37450578	134.2669
1	5.37108931	137.2625
1	5.12181553	140.1732
1	5.13709413	143.1625
1	4.90422965	146.1554
1	4.92216660	148.9121
1	4.72360257	151.6485
1	4.72254368	154.4632
1	4.54299547	157.5438
1	4.51059010	160.6157
1	4.35795816	163.7476
1	4.33837590	166.5702
1	4.19521082	169.3182
1	4.17103678	172.2408
1	4.04592119	175.0343
1	4.01720257	178.0283
1	3.89310891	181.0493
1	3.85756485	184.3628
1	3.75857971	187.1045
1	3.72444979	190.1701
1	3.63515933	193.1454
1	3.59733477	196.3015
1	3.52012384	199.6589
1	3.48118167	203.2384
1	3.40749177	206.1642
1	3.36583300	208.8680
1	3.29890873	211.9677
1	3.26061610	215.0470
1	3.20329039	217.9465
1	3.15541439	220.7269
1	3.10860263	223.6029
1	3.05738727	226.5326
1	3.02003420	229.3331
1	2.96733331	232.3491
1	2.93225603	235.5411
1	2.88411341	238.5949
1	2.85424466	241.4773
1	2.80523191	244.2855
1	2.77395384	247.2603
1	2.72496946	250.2287
1	2.70336883	253.1553
1	2.65269471	255.9424
1	2.62990081	258.9103
1	2.58125422	261.8815
1	2.56882869	264.6916
1	2.51052963	267.7417
1	2.51438233	270.7176
1	2.44951807	273.8220
1	2.45008401	276.7245
1	2.39213467	279.6630
1	2.38847919	282.5133
1	2.33365083	285.5705
1	2.33819175	288.4733
1	2.27812123	291.4908
1	2.28261182	294.3431
1	2.22152912	297.1861
1	2.23284612	300.2080
1	2.17153688	303.1515
1	2.18628190	306.2031
1	2.12252123	309.1561
1	2.13760509	312.0363
1	2.07641622	315.0144
1	2.09419073	318.0925
1	2.03124347	321.1332
1	2.05256451	324.3353
1	1.98496126	327.2929
1	2.01734331	330.5355
1	1.94403746	333.5097
1	1.97500063	336.4815
1	1.90634244	339.7184
1	1.93718049	342.9391
1	1.86897514	345.8946
1	1.89912519	348.9020
2	1.83280024	351.9907
2	1.86198573	355.0755
2	1.79350096	358.3125
2	1.82465594	361.8018
2	1.75884885	365.0476
2	1.79481980	367.9387
2	1.72486988	370.9181
2	1.76180707	374.0640
2	1.69244607	377.0518
2	1.73035141	379.9009
2	1.66354623	382.9557
2	1.70154053	386.0054
2	1.63395708	388.8068
2	1.66905295	391.8038
2	1.60612607	394.8245
2	1.64118452	397.8345
2	1.57689398	400.9368
2	1.61314036	403.8379
2	1.54996054	406.8730
2	1.58224952	409.8326
2	1.52135525	412.8267
2	1.55860106	416.0240
2	1.49498023	419.0484
2	1.53140332	422.0314
2	1.46983601	425.1621
2	1.50799238	428.2469
2	1.44376879	431.2885
2	1.48259664	434.2831
2	1.41859230	437.3399
2	1.45904478	440.3561
2	1.39709797	443.4093
2	1.43618937	446.5767
3	1.37485153	449.7974
3	1.41460487	453.0113
3	1.35052663	456.1296
3	1.39157481	459.4055
3	1.32783972	462.4487
3	1.36800353	465.5101
3	1.30801315	468.5846
3	1.34721127	471.5586
3	1.28733434	474.5493
3	1.32852341	477.4627
3	1.26551189	480.3595
3	1.30819613	483.3840
3	1.24715554	486.4245
3	1.28844587	489.7778
3	1.22768026	492.9416
3	1.27023087	496.0183
3	1.20935494	499.2659
3	1.25031283	502.4461
3	1.18931228	505.5326
3	1.23090539	508.5570
3	1.17158886	511.4888
3	1.21285054	514.5354
4	1.15458649	517.7017
4	1.19729872	521.1861
4	1.13357614	524.3236
4	1.17932653	527.5244
4	1.11625238	530.5582
4	1.16415297	533.5417
4	1.10031350	536.4413
4	1.14724960	539.5405
4	1.08301295	542.5892
4	1.13112119	545.6483
4	1.06733737	548.7136
4	1.11395004	551.7337
4	1.05315842	555.0667
4	1.09923720	558.1516
4	1.03546898	561.1743
4	1.08434355	564.2983
4	1.02141230	567.5163
