Epoch	f-f*	Time
5	1.07011337	570.9642
5	1.00442266	574.0862
5	1.05529811	577.2355
5	0.99140349	580.3886
5	1.04154716	583.6215
5	0.97646342	586.9378
5	1.02656494	590.1570
5	0.96303676	593.0682
5	1.01293914	596.0056
5	0.94798883	599.1159
5	0.99922633	602.2450
5	0.93461657	605.2264
5	0.98556234	608.4280
5	0.92113862	611.5114
5	0.97237120	614.7656
6	0.90657862	618.2176
6	0.96105623	621.5093
6	0.89614082	624.7710
6	0.94769602	627.9252
6	0.88197243	631.1793
6	0.93491688	634.4190
6	0.87045755	637.6949
6	0.92204521	641.0593
6	0.85875621	644.3057
6	0.91059951	647.3471
6	0.84429572	650.7610
6	0.89701770	653.8209
6	0.82812537	657.0238
7	0.88550674	660.0997
7	0.81688402	663.3052
7	0.87257756	666.4546
7	0.80707337	669.6941
7	0.86069644	672.8819
7	0.79467142	676.1449
7	0.84791030	679.1806
7	0.77812738	682.4849
7	0.83052925	685.5682
7	0.75607502	688.4964
7	0.80676844	691.4709
8	0.71303121	694.5357
8	0.74310522	697.6590
8	0.59625691	701.0027
8	0.54490246	704.3509
8	0.31229018	707.5478
8	0.28563331	710.7220
8	0.12014167	714.2739
8	0.07736184	717.4465
8	0.01151465	720.6641
8	0.00401412	723.9077
8	0.00152749	727.2605
9	0.00062901	730.4163
9	0.00050191	733.5084
9	0.00036534	736.8058
9	0.00035856	740.0042
